Model_ID,Cell_line_Name,COSMIC_ID,TCGA_Classfication,Tissue,Tissue_subtype
SIDM00003,M14,905975,SKCM,skin,melanoma
SIDM00023,TE-12,946356,ESCA,aero_digestive_tract,oesophagus
SIDM00042,PL4,1298533,PAAD,pancreas,pancreas
SIDM00043,PCI-4B,1298531,HNSC,aero_digestive_tract,head_and_neck
SIDM00044,PCI-30,1298529,HNSC,aero_digestive_tract,head_and_neck
SIDM00045,HSC-39,1322224,STAD,digestive_system,stomach
SIDM00046,H3255,1247873,LUAD,lung,lung_NSCLC_adenocarcinoma
SIDM00047,EMC-BAC-2,1503370,LUAD,lung,lung_NSCLC_adenocarcinoma
SIDM00048,EMC-BAC-1,1503369,LUAD,lung,lung_NSCLC_adenocarcinoma
SIDM00052,HCE-4,753559,ESCA,aero_digestive_tract,oesophagus
SIDM00053,MZ1-PC,753595,PAAD,pancreas,pancreas
SIDM00056,K5,924238,THCA,thyroid,thyroid
SIDM00064,HLE,907057,LIHC,digestive_system,liver
SIDM00077,BICR10,1290724,HNSC,aero_digestive_tract,head_and_neck
SIDM00078,BICR31,1290725,HNSC,aero_digestive_tract,head_and_neck
SIDM00079,SK-OV-3,905959,OV,urogenital_system,ovary
SIDM00080,SK-MEL-5,905956,SKCM,skin,melanoma
SIDM00081,SK-MEL-28,905954,SKCM,skin,melanoma
SIDM00082,SK-MEL-2,905955,SKCM,skin,melanoma
SIDM00083,SF539,905984,LGG,nervous_system,glioma
SIDM00084,SF295,905985,GBM,nervous_system,glioma
SIDM00085,SF268,905986,GBM,nervous_system,glioma
SIDM00086,RXF393,905978,KIRC,kidney,kidney
SIDM00087,RPMI-8226,905964,MM,blood,myeloma
SIDM00088,PC-3,905934,PRAD,urogenital_system,prostate
SIDM00090,OVCAR-8,905991,OV,urogenital_system,ovary
SIDM00091,OVCAR-5,905969,OV,urogenital_system,ovary
SIDM00092,OVCAR-4,905990,OV,urogenital_system,ovary
SIDM00094,SN12C,905979,KIRC,kidney,kidney
SIDM00095,SNB75,905982,GBM,nervous_system,glioma
SIDM00096,SR,905965,UNCLASSIFIED,blood,lymphoid_neoplasm_other
SIDM00097,T47D,905945,BRCA,breast,breast
SIDM00105,OVCAR-3,905933,OV,urogenital_system,ovary
SIDM00107,UACC-62,905976,SKCM,skin,melanoma
SIDM00108,UACC-257,905977,SKCM,skin,melanoma
SIDM00111,U251,905983,GBM,nervous_system,glioma
SIDM00112,U031,905981,KIRC,kidney,kidney
SIDM00113,TK10,905980,KIRC,kidney,kidney
SIDM00115,PCI-6A,1240206,HNSC,aero_digestive_tract,head_and_neck
SIDM00116,NCI-H522,905944,LUAD,lung,lung_NSCLC_adenocarcinoma
SIDM00117,NCI-H322M,905967,LUAD,lung,lung_NSCLC_adenocarcinoma
SIDM00118,HCC2998,905971,COREAD,digestive_system,large_intestine
SIDM00119,EKVX,905970,LUAD,lung,lung_NSCLC_adenocarcinoma
SIDM00120,DU-145,905935,PRAD,urogenital_system,prostate
SIDM00121,CCRF-CEM,905952,ALL,blood,lymphoblastic_leukemia
