,Gene_ID,Features,No.Features
0,AADAC,"['AADAC_SNP', 'AADAC_MET', 'AADAC_CNV', 'AADAC_RNA']",4
1,ABAT,"['ABAT_SNP', 'ABAT_MET', 'ABAT_CNV', 'ABAT_RNA']",4
2,ABCB1,"['ABCB1_SNP', 'ABCB1_MET', 'ABCB1_CNV', 'ABCB1_RNA']",4
3,ABCB11,"['ABCB11_SNP', 'ABCB11_MET', 'ABCB11_CNV', 'ABCB11_RNA']",4
4,ABCC1,"['ABCC1_SNP', 'ABCC1_MET', 'ABCC1_CNV', 'ABCC1_RNA']",4
5,ABCC10,"['ABCC10_SNP', 'ABCC10_MET', 'ABCC10_CNV', 'ABCC10_RNA']",4
6,ABCC2,"['ABCC2_SNP', 'ABCC2_MET', 'ABCC2_CNV', 'ABCC2_RNA']",4
7,ABCC3,"['ABCC3_SNP', 'ABCC3_MET', 'ABCC3_CNV', 'ABCC3_RNA']",4
8,ABCC4,"['ABCC4_SNP', 'ABCC4_MET', 'ABCC4_CNV', 'ABCC4_RNA']",4
9,ABCC5,"['ABCC5_SNP', 'ABCC5_MET', 'ABCC5_CNV', 'ABCC5_RNA']",4
10,ABCC8,"['ABCC8_SNP', 'ABCC8_MET', 'ABCC8_CNV', 'ABCC8_RNA']",4
11,ABCG1,"['ABCG1_SNP', 'ABCG1_MET', 'ABCG1_CNV', 'ABCG1_RNA']",4
12,ABCG2,"['ABCG2_SNP', 'ABCG2_MET', 'ABCG2_CNV', 'ABCG2_RNA']",4
13,ABCG5,"['ABCG5_SNP', 'ABCG5_MET', 'ABCG5_CNV', 'ABCG5_RNA']",4
14,ABCG8,"['ABCG8_SNP', 'ABCG8_MET', 'ABCG8_CNV', 'ABCG8_RNA']",4
15,ACACA,"['ACACA_SNP', 'ACACA_MET', 'ACACA_CNV', 'ACACA_RNA']",4
16,ACACB,"['ACACB_SNP', 'ACACB_MET', 'ACACB_CNV', 'ACACB_RNA']",4
17,ACADSB,"['ACADSB_SNP', 'ACADSB_MET', 'ACADSB_CNV', 'ACADSB_RNA']",4
18,ACBD3,"['ACBD3_SNP', 'ACBD3_MET', 'ACBD3_CNV', 'ACBD3_RNA']",4
19,ACE,"['ACE_SNP', 'ACE_MET', 'ACE_CNV', 'ACE_RNA']",4
20,ACE2,"['ACE2_SNP', 'ACE2_MET', 'ACE2_CNV', 'ACE2_RNA']",4
21,ACHE,"['ACHE_SNP', 'ACHE_MET', 'ACHE_CNV', 'ACHE_RNA']",4
22,ACO1,"['ACO1_SNP', 'ACO1_MET', 'ACO1_CNV', 'ACO1_RNA']",4
23,ACP1,"['ACP1_SNP', 'ACP1_MET', 'ACP1_CNV', 'ACP1_RNA']",4
24,ADA,"['ADA_SNP', 'ADA_MET', 'ADA_CNV', 'ADA_RNA']",4
25,ADAR,"['ADAR_SNP', 'ADAR_MET', 'ADAR_CNV', 'ADAR_RNA']",4
26,ADCY1,"['ADCY1_SNP', 'ADCY1_MET', 'ADCY1_CNV', 'ADCY1_RNA']",4
27,ADCY2,"['ADCY2_SNP', 'ADCY2_MET', 'ADCY2_CNV', 'ADCY2_RNA']",4
28,ADCY3,"['ADCY3_SNP', 'ADCY3_MET', 'ADCY3_CNV', 'ADCY3_RNA']",4
29,ADCY4,"['ADCY4_SNP', 'ADCY4_MET', 'ADCY4_CNV', 'ADCY4_RNA']",4
30,ADCY5,"['ADCY5_SNP', 'ADCY5_MET', 'ADCY5_CNV', 'ADCY5_RNA']",4
31,ADCY6,"['ADCY6_SNP', 'ADCY6_MET', 'ADCY6_CNV', 'ADCY6_RNA']",4
32,ADCY7,"['ADCY7_SNP', 'ADCY7_MET', 'ADCY7_CNV', 'ADCY7_RNA']",4
33,ADCY8,"['ADCY8_SNP', 'ADCY8_MET', 'ADCY8_CNV', 'ADCY8_RNA']",4
34,ADCY9,"['ADCY9_SNP', 'ADCY9_MET', 'ADCY9_CNV', 'ADCY9_RNA']",4
35,ADD1,"['ADD1_SNP', 'ADD1_MET', 'ADD1_CNV', 'ADD1_RNA']",4
36,ADH1A,"['ADH1A_SNP', 'ADH1A_MET', 'ADH1A_CNV', 'ADH1A_RNA']",4
37,ADH1B,"['ADH1B_SNP', 'ADH1B_MET', 'ADH1B_CNV', 'ADH1B_RNA']",4
38,ADH1C,"['ADH1C_SNP', 'ADH1C_MET', 'ADH1C_CNV', 'ADH1C_RNA']",4
39,ADH4,"['ADH4_SNP', 'ADH4_MET', 'ADH4_CNV', 'ADH4_RNA']",4
40,ADH5,"['ADH5_SNP', 'ADH5_MET', 'ADH5_CNV', 'ADH5_RNA']",4
41,ADH6,"['ADH6_SNP', 'ADH6_MET', 'ADH6_CNV', 'ADH6_RNA']",4
42,ADH7,"['ADH7_SNP', 'ADH7_MET', 'ADH7_CNV', 'ADH7_RNA']",4
43,ADK,"['ADK_SNP', 'ADK_MET', 'ADK_CNV', 'ADK_RNA']",4
44,ADM,"['ADM_SNP', 'ADM_MET', 'ADM_CNV', 'ADM_RNA']",4
45,ADRA1A,"['ADRA1A_SNP', 'ADRA1A_MET', 'ADRA1A_CNV', 'ADRA1A_RNA']",4
46,ADRA1B,"['ADRA1B_SNP', 'ADRA1B_MET', 'ADRA1B_CNV', 'ADRA1B_RNA']",4
47,ADRA1D,"['ADRA1D_SNP', 'ADRA1D_MET', 'ADRA1D_CNV', 'ADRA1D_RNA']",4
48,ADRA2A,"['ADRA2A_SNP', 'ADRA2A_MET', 'ADRA2A_CNV', 'ADRA2A_RNA']",4
49,ADRA2B,"['ADRA2B_SNP', 'ADRA2B_MET', 'ADRA2B_CNV', 'ADRA2B_RNA']",4
50,ADRA2C,"['ADRA2C_SNP', 'ADRA2C_MET', 'ADRA2C_CNV', 'ADRA2C_RNA']",4
51,ADRB1,"['ADRB1_SNP', 'ADRB1_MET', 'ADRB1_CNV', 'ADRB1_RNA']",4
52,ADRB2,"['ADRB2_SNP', 'ADRB2_MET', 'ADRB2_CNV', 'ADRB2_RNA']",4
53,AGRP,"['AGRP_SNP', 'AGRP_MET', 'AGRP_CNV', 'AGRP_RNA']",4
54,AGT,"['AGT_SNP', 'AGT_MET', 'AGT_CNV', 'AGT_RNA']",4
55,AGTR1,"['AGTR1_SNP', 'AGTR1_MET', 'AGTR1_CNV', 'AGTR1_RNA']",4
56,AGTR2,"['AGTR2_SNP', 'AGTR2_MET', 'AGTR2_CNV', 'AGTR2_RNA']",4
57,AIFM2,"['AIFM2_SNP', 'AIFM2_MET', 'AIFM2_CNV', 'AIFM2_RNA']",4
58,AK2,"['AK2_SNP', 'AK2_MET', 'AK2_CNV', 'AK2_RNA']",4
59,AKAP1,"['AKAP1_SNP', 'AKAP1_MET', 'AKAP1_CNV', 'AKAP1_RNA']",4
60,AKR1A1,"['AKR1A1_SNP', 'AKR1A1_MET', 'AKR1A1_CNV', 'AKR1A1_RNA']",4
61,AKR1B1,"['AKR1B1_SNP', 'AKR1B1_MET', 'AKR1B1_CNV', 'AKR1B1_RNA']",4
62,AKR1B10,"['AKR1B10_SNP', 'AKR1B10_MET', 'AKR1B10_CNV', 'AKR1B10_RNA']",4
