k,inertia,silhouette,min_cluster_size,max_cluster_size
2,65464.55078125,0.01300629315686057,26,215
3,63435.41015625,0.00824709828854414,13,195
4,61615.609375,-0.00965698908877257,2,234
5,60665.8984375,0.008035942463269326,2,127
6,58717.8125,-0.0019081337100048015,3,202
7,56924.078125,0.004183152188846871,2,153
8,55880.98828125,0.006782346442684624,2,176
9,53709.62890625,0.01000076554282185,2,209
10,52935.69140625,0.011862391381600926,2,111
11,52399.56640625,0.01811408404444517,1,131
12,51221.171875,0.020928916060164175,1,129
13,49791.22265625,0.02761788145147172,1,133
14,48506.63671875,0.035013181621580125,2,68
15,46237.96484375,0.038034397922564245,2,108
16,46137.25390625,0.04968174189152789,2,105
17,45522.84765625,0.042257731252354803,1,135
18,44495.3671875,0.05071909678437518,2,100
19,43576.19921875,0.04955673129069729,1,90
20,42798.32421875,0.05577187518346917,2,92
21,40071.0703125,0.07334261777277053,1,80
22,39185.81640625,0.07929799001403141,2,114
23,39044.75390625,0.07564287539963373,1,60
24,38419.35546875,0.07216464886398825,1,79
25,38078.89453125,0.07110520798296485,1,73
26,37450.25390625,0.07301598125646046,1,92
27,37016.82421875,0.07427923347726466,1,67
28,35597.6796875,0.08109348338133902,1,71
29,35157.8984375,0.0782683353584885,1,51
30,34328.66796875,0.08750082625072089,1,49
